x,y,z,d
-0.01,0.8817781,0.56325443,0.05961466
-0.31,0.8817781,0.16325443,0.060310856
0.24,-0.2682219,0.86325443,0.060355946
0.24,2.4317781,0.11325443,0.061335668
0.04,0.9317781,0.21325443,0.061756514
0.19,0.0817781,0.16325443,0.061814114
-0.21,0.5817781,0.31325443,0.06216927
0.34,0.7317781,0.16325443,0.063513376
0.09,-0.0182219,0.51325443,0.06447469
0.14,0.7317781,0.56325443,0.06471977
0.34,0.6817781,0.31325443,0.065367386
0.19,-0.2682219,0.61325443,0.06561321
0.29,0.2317781,0.11325443,0.0662802
0.14,-0.9682219,0.71325443,0.06747343
-0.31,-0.0682219,0.41325443,0.068370864
-0.31,0.1817781,0.16325443,0.068900146
-0.01,-0.1182219,0.41325443,0.06933026
-0.21,0.6317781,0.51325443,0.069368884
0.34,0.8317781,0.36325443,0.06966573
-0.16,-0.4682219,1.01325443,0.06970112
0.34,0.2817781,0.21325443,0.069729745
-1.46,-0.9182219,0.66325443,0.069928154
-0.31,-0.7182219,0.86325443,0.070124745
-0.06,0.3317781,0.41325443,0.070892155
0.19,1.2817781,0.51325443,0.07113294
0.29,0.4817781,0.51325443,0.07140673
0.29,0.7817781,0.46325443,0.0716771
-0.26,-0.4682219,0.96325443,0.07202172
-0.36,-0.4682219,0.86325443,0.07264415
0.29,0.9817781,0.21325443,0.07341027
0.14,0.9817781,0.16325443,0.07381562
0.34,0.6317781,0.36325443,0.07529503
-0.16,0.5817781,0.56325443,0.07535371
-0.31,-0.4682219,1.01325443,0.075597495
0.24,-0.3682219,0.96325443,0.0767747
0.34,0.6817781,0.46325443,0.07718443
-0.36,0.4817781,0.21325443,0.07735914
-0.06,0.9317781,0.41325443,0.077499
0.14,-0.0682219,0.36325443,0.07786315
0.34,0.5817781,0.16325443,0.081904784
0.29,0.6317781,0.46325443,0.08204363
0.19,0.9317781,0.36325443,0.08226851
0.09,0.8817781,0.41325443,0.083335936
-0.26,-0.9182219,0.71325443,0.08434297
-0.01,-0.4182219,0.21325443,0.08686249
-0.01,0.3317781,0.46325443,0.087345734
0.44,-0.5682219,0.81325443,0.08772926
-0.41,-0.4682219,0.81325443,0.08863197
0.04,-0.8182219,0.61325443,0.08965826
-0.06,-0.0182219,0.51325443,0.08971085
0.29,-0.1682219,0.76325443,0.09056981
0.34,0.7817781,0.21325443,0.090968825
0.34,0.8317781,0.21325443,0.09153862
-0.01,0.9317781,0.31325443,0.091959506
0.14,0.7317781,0.31325443,0.093220234
0.29,-0.9182219,0.71325443,0.09343013
0.19,-0.3182219,0.36325443,0.09349303
0.14,0.7817781,0.36325443,0.093801886
-0.21,0.2817781,0.11325443,0.09439966
0.09,0.9317781,0.31325443,0.094836995
-0.31,0.7817781,0.36325443,0.09484339
-0.31,-0.2182219,0.56325443,0.094906494
0.24,0.3317781,0.36325443,0.09515942
0.14,0.7317781,0.76325443,0.09564888
-0.16,0.9317781,0.36325443,0.09566928
0.04,-0.1682219,0.16325443,0.09629433
-0.26,-0.9682219,0.61325443,0.096622534
0.44,-0.5682219,0.71325443,0.09972602
-0.06,0.2817781,0.56325443,0.09993661
0.04,-0.4682219,1.01325443,0.10064711
0.14,-0.1682219,0.21325443,0.10182232
-0.16,-0.3182219,0.31325443,0.103031725
-0.21,-0.3682219,0.36325443,0.103372574
0.14,0.6317781,0.76325443,0.10407694
0.29,-0.2182219,0.11325443,0.10446821
-0.21,-0.3182219,0.61325443,0.10465346
0.29,-0.4682219,1.01325443,0.10495059
0.09,-0.9682219,0.21325443,0.10520743
0.09,0.8817781,0.36325443,0.105962254
0.19,-0.9682219,0.61325443,0.106019706
-0.36,-0.1682219,0.51325443,0.106228516
-0.16,0.9317781,0.56325443,0.10720337
0.14,-0.2682219,0.36325443,0.10926977
-0.26,0.8317781,0.51325443,0.11260235
-0.31,0.8317781,0.21325443,0.11276741
-0.01,-0.4682219,1.01325443,0.11301264
-0.06,0.0817781,0.46325443,0.11343235
-0.06,-0.3682219,0.91325443,0.11446574
0.24,0.9317781,0.31325443,0.11466172
0.29,0.6817781,0.36325443,0.11501801
-0.26,0.6317781,0.31325443,0.11631483
-0.36,0.5317781,0.26325443,0.11657936
0.24,0.1317781,0.26325443,0.11672014
0.24,0.6317781,0.51325443,0.11811416
