x,y,z,d
-2.16,-1.5182219,0.11325443,-4.5624986
-2.06,-1.5182219,0.11325443,-2.5141704
-1.96,-1.5182219,0.11325443,-3.4996912
-1.8599999999999999,-1.5182219,0.11325443,-4.9731107
-1.7599999999999998,-1.5182219,0.11325443,-5.3647294
-1.6599999999999997,-1.5182219,0.11325443,-5.100327
-1.5599999999999996,-1.5182219,0.11325443,-4.5970592
-1.4599999999999995,-1.5182219,0.11325443,-4.284928
-1.3599999999999994,-1.5182219,0.11325443,-4.3095536
-1.2599999999999993,-1.5182219,0.11325443,-3.1780128
-1.1599999999999993,-1.5182219,0.11325443,-3.688613
-1.0599999999999992,-1.5182219,0.11325443,-4.0212297
-0.9599999999999991,-1.5182219,0.11325443,-3.411175
-0.859999999999999,-1.5182219,0.11325443,-2.1055036
-0.7599999999999989,-1.5182219,0.11325443,-2.1262684
-0.6599999999999988,-1.5182219,0.11325443,-4.4024105
-0.5599999999999987,-1.5182219,0.11325443,-3.7162197
-0.45999999999999863,-1.5182219,0.11325443,-1.8611674
-0.35999999999999854,-1.5182219,0.11325443,-2.4862895
-0.25999999999999845,-1.5182219,0.11325443,-3.5283291
-0.15999999999999837,-1.5182219,0.11325443,-3.2034986
-0.05999999999999828,-1.5182219,0.11325443,-2.5015516
0.04000000000000181,-1.5182219,0.11325443,-2.5017369
0.1400000000000019,-1.5182219,0.11325443,-3.1299443
0.240000000000002,-1.5182219,0.11325443,-3.021896
0.3400000000000021,-1.5182219,0.11325443,-2.4221714
0.44000000000000217,-1.5182219,0.11325443,-3.0911927
0.5400000000000023,-1.5182219,0.11325443,-4.3027296
0.6400000000000023,-1.5182219,0.11325443,-3.980776
0.7400000000000024,-1.5182219,0.11325443,-4.0625377
0.8400000000000025,-1.5182219,0.11325443,-5.2439823
0.9400000000000026,-1.5182219,0.11325443,-5.8759556
1.0400000000000027,-1.5182219,0.11325443,-4.0567155
1.1400000000000028,-1.5182219,0.11325443,-4.3351316
1.2400000000000029,-1.5182219,0.11325443,-5.1656384
1.340000000000003,-1.5182219,0.11325443,-5.486096
1.440000000000003,-1.5182219,0.11325443,-4.9833384
1.5400000000000031,-1.5182219,0.11325443,-6.2274895
1.6400000000000032,-1.5182219,0.11325443,-5.450896
1.7400000000000033,-1.5182219,0.11325443,-5.0897555
1.8400000000000034,-1.5182219,0.11325443,-4.654696
1.940000000000003,-1.5182219,0.11325443,-5.103642
2.0400000000000036,-1.5182219,0.11325443,-6.207461
2.140000000000004,-1.5182219,0.11325443,-6.6861215
-2.16,-1.4182218999999998,0.11325443,-6.07133
-2.06,-1.4182218999999998,0.11325443,-4.458385
-1.96,-1.4182218999999998,0.11325443,-4.188702
-1.8599999999999999,-1.4182218999999998,0.11325443,-6.4077797
-1.7599999999999998,-1.4182218999999998,0.11325443,-5.760325
-1.6599999999999997,-1.4182218999999998,0.11325443,-5.324308
-1.5599999999999996,-1.4182218999999998,0.11325443,-4.7032623
-1.4599999999999995,-1.4182218999999998,0.11325443,-5.499933
-1.3599999999999994,-1.4182218999999998,0.11325443,-4.9888525
-1.2599999999999993,-1.4182218999999998,0.11325443,-3.91915
-1.1599999999999993,-1.4182218999999998,0.11325443,-3.8579943
-1.0599999999999992,-1.4182218999999998,0.11325443,-5.729208
-0.9599999999999991,-1.4182218999999998,0.11325443,-4.8151097
-0.859999999999999,-1.4182218999999998,0.11325443,-3.0831769
-0.7599999999999989,-1.4182218999999998,0.11325443,-3.7294493
-0.6599999999999988,-1.4182218999999998,0.11325443,-5.8751717
-0.5599999999999987,-1.4182218999999998,0.11325443,-4.4099593
-0.45999999999999863,-1.4182218999999998,0.11325443,-2.8554358
-0.35999999999999854,-1.4182218999999998,0.11325443,-2.4722614
-0.25999999999999845,-1.4182218999999998,0.11325443,-3.9107869
-0.15999999999999837,-1.4182218999999998,0.11325443,-3.3612635
-0.05999999999999828,-1.4182218999999998,0.11325443,-3.3910997
0.04000000000000181,-1.4182218999999998,0.11325443,-4.0577083
0.1400000000000019,-1.4182218999999998,0.11325443,-4.368604
0.240000000000002,-1.4182218999999998,0.11325443,-2.99425
